step,action,action_label,reward,cumulative_reward,x,y,vx,vy,angle,angular_velocity,left_contact,right_contact,terminated,truncated
0,2,Moteur principal,1.254739641250535,1.254739641250535,0.009274577721953392,1.3882110118865967,0.46272677183151245,-0.5042590498924255,-0.01148197241127491,-0.12066900730133057,0.0,0.0,False,False
1,2,Moteur principal,1.6123999969528995,2.8671396382034344,0.013784694485366344,1.3772000074386597,0.4574095606803894,-0.4894411861896515,-0.017815934494137764,-0.126691073179245,0.0,0.0,False,False
2,2,Moteur principal,-0.09277920593972339,2.774360432263711,0.01842966116964817,1.3663740158081055,0.47029224038124084,-0.481233149766922,-0.023547455668449402,-0.11464110761880875,0.0,0.0,False,False
3,2,Moteur principal,0.6567940817723581,3.431154514036069,0.022966574877500534,1.3554842472076416,0.46005314588546753,-0.48410460352897644,-0.029836608096957207,-0.12579461932182312,0.0,0.0,False,False
4,2,Moteur principal,1.8575339368357902,5.2886884508718595,0.027519702911376953,1.3451884984970093,0.4617069363594055,-0.45773035287857056,-0.03616069257259369,-0.12649354338645935,0.0,0.0,False,False
5,1,Orientation gauche,-0.677752925345003,4.610935525526856,0.032001495361328125,1.3342968225479126,0.45275092124938965,-0.4841914176940918,-0.0406828448176384,-0.09045135229825974,0.0,0.0,False,False
6,2,Moteur principal,-0.3731207876349913,4.237814737891865,0.03658456727862358,1.3233823776245117,0.46246975660324097,-0.4852050542831421,-0.04479777067899704,-0.08230595290660858,0.0,0.0,False,False
7,2,Moteur principal,1.0201135595531639,5.257928297445029,0.04134998470544815,1.3130663633346558,0.4799899458885193,-0.4585934579372406,-0.04821626469492912,-0.06837602704763412,0.0,0.0,False,False
8,1,Orientation gauche,-0.4711634096615842,4.786764887783445,0.046056173741817474,1.3021575212478638,0.4725639820098877,-0.48489996790885925,-0.05013907328248024,-0.038459412753582,0.0,0.0,False,False
9,2,Moteur principal,1.1572802672988132,5.944045155082258,0.05087785795331001,1.2916873693466187,0.4837247431278229,-0.46539631485939026,-0.051679469645023346,-0.030810922384262085,0.0,0.0,False,False
10,2,Moteur principal,0.9147836816158701,6.8588288366981285,0.055631350725889206,1.281192421913147,0.47733569145202637,-0.4665059745311737,-0.05363524705171585,-0.039119187742471695,0.0,0.0,False,False
11,2,Moteur principal,0.554184505684941,7.41301334238307,0.06042671203613281,1.270801067352295,0.48143285512924194,-0.4619072377681732,-0.055511895567178726,-0.037536315619945526,0.0,0.0,False,False
12,2,Moteur principal,2.168291817488904,9.581305159871974,0.06514692306518555,1.2608119249343872,0.47445154190063477,-0.44405806064605713,-0.05791716277599335,-0.04811006039381027,0.0,0.0,False,False
13,1,Orientation gauche,-5.0838007608716707e-05,9.581254321864366,0.06977386772632599,1.2502297163009644,0.4627557694911957,-0.4703187942504883,-0.05797118693590164,-0.001080693444237113,0.0,0.0,False,False
14,2,Moteur principal,0.5411408878573922,10.122395209721757,0.07460594177246094,1.2400290966033936,0.4824604094028473,-0.45333346724510193,-0.05724190175533295,0.014587009325623512,0.0,0.0,False,False
15,2,Moteur principal,1.9181442832514903,12.040539492973247,0.07945986092090607,1.2302882671356201,0.4847434163093567,-0.4329019784927368,-0.05659906566143036,0.012857976369559765,0.0,0.0,False,False
16,1,Orientation gauche,0.283358651481991,12.323898144455239,0.0842248946428299,1.219954490661621,0.47360044717788696,-0.4591711759567261,-0.05371846631169319,0.0576169416308403,0.0,0.0,False,False
17,2,Moteur principal,3.086459339569683,15.410357484024921,0.08890581130981445,1.210158348083496,0.4657689929008484,-0.4353029429912567,-0.05142243951559067,0.04592485725879669,0.0,0.0,False,False
