step,action,action_label,reward,cumulative_reward,x,y,vx,vy,angle,angular_velocity,left_contact,right_contact,terminated,truncated
0,0,Ne rien faire,0.641992209244421,0.641992209244421,0.00720634451135993,1.426138162612915,0.36444902420043945,0.32531481981277466,-0.008253071457147598,-0.08170116692781448,0.0,0.0,False,False
1,0,Ne rien faire,0.6476774129533851,1.2896696221978061,0.010809803381562233,1.432859182357788,0.36446183919906616,0.2986873388290405,-0.012335512787103653,-0.08165609836578369,0.0,0.0,False,False
2,0,Ne rien faire,0.6193892217463315,1.9090588439441376,0.014413261786103249,1.4389803409576416,0.3644739091396332,0.27201566100120544,-0.016417410224676132,-0.08164555579423904,0.0,0.0,False,False
3,0,Ne rien faire,0.5778489168008036,2.4869077607449412,0.018016910180449486,1.4445018768310547,0.3644859790802002,0.24534575641155243,-0.02049868181347847,-0.08163277804851532,0.0,0.0,False,False
4,0,Ne rien faire,0.5254739501682479,3.012381710913189,0.021620560437440872,1.4494235515594482,0.3644980490207672,0.21867617964744568,-0.024579288437962532,-0.08161988109350204,0.0,0.0,False,False
5,0,Ne rien faire,0.46151187975956987,3.473893590672759,0.02522449567914009,1.4537452459335327,0.36451005935668945,0.19200672209262848,-0.0286592748016119,-0.08160725235939026,0.0,0.0,False,False
6,0,Ne rien faire,0.38546310877461565,3.8593566994473747,0.02882852591574192,1.4574673175811768,0.3645220398902893,0.16533711552619934,-0.03273864462971687,-0.08159445226192474,0.0,0.0,False,False
7,0,Ne rien faire,0.29723076444696517,4.15658746389434,0.03243265300989151,1.4605895280838013,0.3645339608192444,0.13866744935512543,-0.03681735694408417,-0.08158169686794281,0.0,0.0,False,False
8,0,Ne rien faire,0.19711098582482123,4.353698449719161,0.03603687137365341,1.4631119966506958,0.3645458519458771,0.11199770867824554,-0.040895432233810425,-0.08156897127628326,0.0,0.0,False,False
9,0,Ne rien faire,0.08594033163694803,4.439638781356109,0.039641283452510834,1.4650344848632812,0.3645577132701874,0.0853278785943985,-0.04497288540005684,-0.0815562903881073,0.0,0.0,False,False
10,0,Ne rien faire,-0.03486715893521364,4.4047716224208955,0.043245889246463776,1.4663571119308472,0.3645695149898529,0.0586579367518425,-0.04904969781637192,-0.08154364675283432,0.0,0.0,False,False
11,0,Ne rien faire,-0.16330494197683265,4.241466680444063,0.04685049131512642,1.4670801162719727,0.36458128690719604,0.03198789060115814,-0.05312587320804596,-0.08153105527162552,0.0,0.0,False,False
12,0,Ne rien faire,-0.2967732908796279,3.944693389564435,0.050455283373594284,1.46720290184021,0.364592969417572,0.00531774153932929,-0.05720143020153046,-0.0815184935927391,0.0,0.0,False,False
13,0,Ne rien faire,-0.4324507351553848,3.51224265440905,0.05406026914715767,1.466726303100586,0.364604651927948,-0.02135247178375721,-0.06127636134624481,-0.08150602132081985,0.0,0.0,False,False
14,0,Ne rien faire,-0.5671517167476452,2.945090937661405,0.057665348052978516,1.4656497240066528,0.3646162152290344,-0.048022739589214325,-0.06535067409276962,-0.08149357885122299,0.0,0.0,False,False
15,0,Ne rien faire,-0.6979416457330103,2.2471492919283946,0.06127052381634712,1.4639734029769897,0.36462777853012085,-0.07469306141138077,-0.06942436099052429,-0.08148116618394852,0.0,0.0,False,False
16,0,Ne rien faire,-0.8220415574731703,1.4251077344552243,0.06487588584423065,1.4616971015930176,0.3646392524242401,-0.10136346518993378,-0.07349744439125061,-0.08146879822015762,0.0,0.0,False,False
17,0,Ne rien faire,-0.937296629038002,0.4878111054172223,0.06848125159740448,1.4588210582733154,0.364650696516037,-0.12803395092487335,-0.07756990194320679,-0.0814564898610115,0.0,0.0,False,False
18,1,Orientation gauche,0.33532460927253394,0.8231357146897562,0.07198858261108398,1.4553579092025757,0.35233861207962036,-0.15399692952632904,-0.07915928214788437,-0.03179037570953369,0.0,0.0,False,False
19,1,Orientation gauche,-0.10409712824625103,0.7190385864435052,0.07543554157018661,1.4513009786605835,0.34476688504219055,-0.18031686544418335,-0.07922612130641937,-0.0013371799141168594,0.0,0.0,False,False
20,1,Orientation gauche,0.018751694734761487,0.7377902811782666,0.07881631702184677,1.446657419204712,0.3364497721195221,-0.2062930166721344,-0.07761126011610031,0.03230009973049164,0.0,0.0,False,False
21,1,Orientation gauche,0.07777778925103121,0.8155680704292978,0.08212833106517792,1.4414199590682983,0.32783061265945435,-0.23261000216007233,-0.07426630705595016,0.06690507382154465,0.0,0.0,False,False
22,1,Orientation gauche,0.5190350506955792,1.334603121124877,0.0853433609008789,1.4356003999710083,0.3156440854072571,-0.25837090611457825,-0.06846419721841812,0.11605261266231537,0.0,0.0,False,False
23,0,Ne rien faire,-0.5368393691282733,0.7977637519966037,0.08855819702148438,1.4291810989379883,0.31562650203704834,-0.2850418984889984,-0.06266359984874725,0.11602248251438141,0.0,0.0,False,False
24,0,Ne rien faire,-0.6286022899431316,0.16916146205347204,0.09177198261022568,1.4221408367156982,0.31551826000213623,-0.3126646876335144,-0.05686291307210922,0.11601343005895615,0.0,0.0,False,False
25,0,Ne rien faire,-0.5946763791503997,-0.4255149170969277,0.09498576819896698,1.4145010709762573,0.31551802158355713,-0.3393341898918152,-0.05106225609779358,0.1160130649805069,0.0,0.0,False,False
26,0,Ne rien faire,-0.6071371914308088,-1.0326521085277365,0.09819965064525604,1.406261920928955,0.315517783164978,-0.36600369215011597,-0.04526161402463913,0.11601273715496063,0.0,0.0,False,False
27,0,Ne rien faire,-0.6111699563058437,-1.6438220648335802,0.10141344368457794,1.3974229097366333,0.3155175745487213,-0.39267319440841675,-0.039460983127355576,0.11601249128580093,0.0,0.0,False,False
28,0,Ne rien faire,-0.6079372707601749,-2.2517593355937553,0.104627326130867,1.3879845142364502,0.315517395734787,-0.41934269666671753,-0.03366035595536232,0.11601217091083527,0.0,0.0,False,False
29,1,Orientation gauche,-0.010922589001437472,-2.2626819245951926,0.10777854919433594,1.37794828414917,0.30765241384506226,-0.4459012448787689,-0.02628420852124691,0.14752322435379028,0.0,0.0,False,False
30,1,Orientation gauche,0.3159887382564375,-1.946693186338755,0.1108492836356163,1.3673235177993774,0.2975461483001709,-0.4720820188522339,-0.01687997207045555,0.18808451294898987,0.0,0.0,False,False
31,0,Ne rien faire,-0.24025214984465038,-2.1869453361834053,0.11392001807689667,1.3560997247695923,0.2975458800792694,-0.49875608086586,-0.007475805934518576,0.18808338046073914,0.0,0.0,False,False
32,0,Ne rien faire,-0.5996489366947344,-2.7865942728781397,0.11699075996875763,1.3442771434783936,0.29754573106765747,-0.5254301428794861,0.0019283125875517726,0.18808218836784363,0.0,0.0,False,False
33,2,Moteur principal,1.3395176690321022,-1.4470766038460374,0.1198851615190506,1.3325964212417603,0.28073281049728394,-0.5191827416419983,0.010521290823817253,0.17185956239700317,0.0,0.0,False,False
34,2,Moteur principal,1.3366689886152983,-0.11040761523073916,0.12278642505407333,1.3212846517562866,0.28137093782424927,-0.5028267502784729,0.019178640097379684,0.17314720153808594,0.0,0.0,False,False
35,2,Moteur principal,0.8800066721324924,0.7695990569017532,0.1256587952375412,1.3101861476898193,0.2785519063472748,-0.4934079051017761,0.02774994820356369,0.17142590880393982,0.0,0.0,False,False
36,2,Moteur principal,-0.9137532299364921,-0.14415417303473888,0.12869195640087128,1.2990927696228027,0.2938271760940552,-0.4932376742362976,0.037116821855306625,0.18733751773834229,0.0,0.0,False,False
37,2,Moteur principal,3.9750102698184664,3.8308560967837275,0.1315140724182129,1.2888115644454956,0.27355247735977173,-0.4571760296821594,0.04567037895321846,0.17107132077217102,0.0,0.0,False,False
38,0,Ne rien faire,-2.1079427921842466,1.7229133045994809,0.13433608412742615,1.277931571006775,0.2735528349876404,-0.4838488698005676,0.05422389134764671,0.1710704267024994,0.0,0.0,False,False
39,2,Moteur principal,0.9789124157501987,2.70182572034968,0.13708171248435974,1.2672364711761475,0.2661299705505371,-0.47565895318984985,0.06255553662776947,0.16663305461406708,0.0,0.0,False,False
40,2,Moteur principal,0.29019639499570077,2.9920221153453808,0.13989487290382385,1.2567424774169922,0.2724149823188782,-0.46679726243019104,0.0713537186384201,0.17596358060836792,0.0,0.0,False,False
41,2,Moteur principal,0.9296249391482376,3.9216470544936186,0.1428113877773285,1.2467020750045776,0.28204846382141113,-0.44673052430152893,0.08086127787828445,0.19015154242515564,0.0,0.0,False,False
42,0,Ne rien faire,-2.201551112582223,1.7200959419113957,0.14572791755199432,1.23606276512146,0.2820493280887604,-0.47340476512908936,0.09036879241466522,0.19015036523342133,0.0,0.0,False,False
43,2,Moteur principal,3.115629144142372,4.835725086053768,0.14862899482250214,1.2263174057006836,0.280172199010849,-0.4337644577026367,0.1002218946814537,0.19706210494041443,0.0,0.0,False,False
44,0,Ne rien faire,-2.2542046218331677,2.5815204642206,0.15152987837791443,1.2159732580184937,0.2801733613014221,-0.4604392349720001,0.11007493734359741,0.19706079363822937,0.0,0.0,False,False
45,0,Ne rien faire,-2.231954797086786,0.3495656671338141,0.15443077683448792,1.2050304412841797,0.2801746129989624,-0.48711398243904114,0.11992792785167694,0.19705945253372192,0.0,0.0,False,False
46,2,Moteur principal,3.056942110377645,3.406507777511459,0.1572481095790863,1.1948597431182861,0.27169790863990784,-0.4528687596321106,0.12990356981754303,0.1995132863521576,0.0,0.0,False,False
47,0,Ne rien faire,-2.2718895063717355,1.1346182711397237,0.16006526350975037,1.184090256690979,0.2716994881629944,-0.47954368591308594,0.13987916707992554,0.19951191544532776,0.0,0.0,False,False
48,2,Moteur principal,3.0805820623485376,4.215200333488261,0.16276760399341583,1.1740628480911255,0.2601812183856964,-0.44664466381073,0.14990639686584473,0.20054468512535095,0.0,0.0,False,False
49,0,Ne rien faire,-2.3097138612809545,1.9054864722073068,0.16546973586082458,1.1634365320205688,0.2601830065250397,-0.4733196794986725,0.15993356704711914,0.20054325461387634,0.0,0.0,False,False
50,3,Orientation droite,-2.479749112835036,-0.5742626406277291,0.16826792061328888,1.1522455215454102,0.2722931206226349,-0.4982120096683502,0.16745933890342712,0.15051548182964325,0.0,0.0,False,False
51,2,Moteur principal,4.74247370986036,4.1682110692326315,0.17073717713356018,1.1418734788894653,0.24018406867980957,-0.46175411343574524,0.1742151528596878,0.13511639833450317,0.0,0.0,False,False
52,2,Moteur principal,2.7185800374565305,6.886791106689162,0.17316770553588867,1.13217031955719,0.23581171035766602,-0.43211689591407776,0.18147309124469757,0.14515872299671173,0.0,0.0,False,False
53,0,Ne rien faire,-2.1018914875530186,4.7848996191361435,0.17559814453125,1.1218678951263428,0.23581285774707794,-0.4587879180908203,0.18873099982738495,0.14515820145606995,0.0,0.0,False,False
54,0,Ne rien faire,-2.0729815674924623,2.711918051643681,0.17802849411964417,1.1109660863876343,0.23581406474113464,-0.48545894026756287,0.19598887860774994,0.14515766501426697,0.0,0.0,False,False
55,2,Moteur principal,2.070484175201625,4.782402226845306,0.180385023355484,1.1005159616470337,0.2281559705734253,-0.4654712975025177,0.20354415476322174,0.1511053740978241,0.0,0.0,False,False
56,3,Orientation droite,-2.200877864008986,2.5815243628363205,0.1828080117702484,1.0894925594329834,0.2365531176328659,-0.49072834849357605,0.20934461057186127,0.11600898206233978,0.0,0.0,False,False
57,2,Moteur principal,1.2119421771068175,3.7934665399431378,0.18508224189281464,1.0785706043243408,0.22190089523792267,-0.4862161874771118,0.2149215042591095,0.1115378886461258,0.0,0.0,False,False
