step,action,action_label,reward,cumulative_reward,x,y,vx,vy,angle,angular_velocity,left_contact,right_contact,terminated,truncated
0,3,Orientation droite,-0.7050052712343404,-0.7050052712343404,-0.006559181027114391,1.394311547279358,-0.3267126679420471,-0.3819815516471863,0.00591255770996213,0.041340336203575134,0.0,0.0,False,False
1,3,Orientation droite,-0.7108448770775613,-1.4158501483119017,-0.00974206905812025,1.3851203918457031,-0.318767786026001,-0.40849825739860535,0.006383300293236971,0.009415928274393082,0.0,0.0,False,False
2,3,Orientation droite,-0.3000180047337426,-1.7158681530456443,-0.012827491387724876,1.3753201961517334,-0.3065347969532013,-0.43555715680122375,0.004402042366564274,-0.03962908685207367,0.0,0.0,False,False
3,3,Orientation droite,-0.4414361936325395,-2.157304346678184,-0.015851879492402077,1.364915370941162,-0.2988828420639038,-0.46242889761924744,0.0008891283068805933,-0.07026489824056625,0.0,0.0,False,False
4,3,Orientation droite,-1.0395640677790243,-3.1968684144572084,-0.01879091188311577,1.353907823562622,-0.2881869077682495,-0.48922717571258545,-0.004765669349581003,-0.11310644447803497,0.0,0.0,False,False
5,3,Orientation droite,-1.4421362709084053,-4.639004685365614,-0.02163715288043022,1.342297077178955,-0.27653637528419495,-0.5160796046257019,-0.012751883827149868,-0.1597389429807663,0.0,0.0,False,False
6,3,Orientation droite,-1.7886748028229806,-6.427679488188595,-0.02440967597067356,1.3300772905349731,-0.26731666922569275,-0.5432162880897522,-0.022581905126571655,-0.196618914604187,0.0,0.0,False,False
7,2,Moteur principal,1.6539607937323921,-4.7737186944562024,-0.02731924131512642,1.3184804916381836,-0.28027650713920593,-0.515601634979248,-0.03315119817852974,-0.2114052027463913,0.0,0.0,False,False
8,2,Moteur principal,2.1600362091121896,-2.613682485344013,-0.030211066827178,1.3074880838394165,-0.27846038341522217,-0.4888208508491516,-0.0437624529004097,-0.21224471926689148,0.0,0.0,False,False
9,0,Ne rien faire,-2.2410929245139073,-4.85477540985792,-0.0331026092171669,1.2958970069885254,-0.2784300446510315,-0.5155026316642761,-0.054372262209653854,-0.21221549808979034,0.0,0.0,False,False
10,2,Moteur principal,1.8890578141857588,-2.965717595672161,-0.035912226885557175,1.2847535610198975,-0.27045780420303345,-0.49567535519599915,-0.06477490067481995,-0.20807227492332458,0.0,0.0,False,False
11,2,Moteur principal,1.7064737187240382,-1.259243876948123,-0.03873453289270401,1.274146556854248,-0.27144402265548706,-0.4719242453575134,-0.07546969503164291,-0.2139151394367218,0.0,0.0,False,False
12,2,Moteur principal,3.0978750169542595,1.8386311400061366,-0.04146213456988335,1.2643263339996338,-0.26209571957588196,-0.43702587485313416,-0.08604746311903,-0.21157479286193848,0.0,0.0,False,False
13,0,Ne rien faire,-2.33036298864036,-0.49173184863422326,-0.04418935626745224,1.2539074420928955,-0.26206713914871216,-0.4637106955051422,-0.0966237485408783,-0.21154475212097168,0.0,0.0,False,False
14,1,Orientation gauche,-2.6268677550536936,-3.118599603687917,-0.04701347276568413,1.2428982257843018,-0.2742319405078888,-0.48984819650650024,-0.10474637895822525,-0.16246698796749115,0.0,0.0,False,False
15,2,Moteur principal,1.334201480477543,-1.784398123210374,-0.04972057417035103,1.232094407081604,-0.26282674074172974,-0.48073750734329224,-0.11258760839700699,-0.15683908760547638,0.0,0.0,False,False
16,2,Moteur principal,4.726579539085901,2.9421814158755275,-0.05213804170489311,1.222161889076233,-0.23470640182495117,-0.4419897198677063,-0.11959641426801682,-0.14018893241882324,0.0,0.0,False,False
